Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.968e-04,4.83469,4.95469
-5.966e-04,4.83469,5.04531
-5.964e-04,4.83625,5.02188
-5.962e-04,4.84563,5.02813
-5.960e-04,4.825,5.03813
-5.958e-04,4.83906,5.02562
-5.956e-04,4.83094,5.02562
-5.954e-04,4.83312,5.01938
-5.952e-04,4.82906,5.02531
-5.950e-04,4.83375,5.0125
-5.948e-04,4.82656,5.01219
-5.946e-04,4.83375,5.03781
-5.944e-04,4.835,5.02313
-5.942e-04,4.82563,5.02625
-5.940e-04,4.83531,5.02094
-5.938e-04,4.83938,5.02594
-5.936e-04,4.82656,5.035
-5.934e-04,4.82094,5.03656
-5.932e-04,4.83469,5.0275
-5.930e-04,4.83563,5.02188
-5.928e-04,4.82969,5.02625
-5.926e-04,4.82781,5.01813
-5.924e-04,4.83688,5.01875
-5.922e-04,4.82625,5.02719
-5.920e-04,4.82812,5.00656
-5.918e-04,4.84219,5.01344
-5.916e-04,4.83312,5.01781
-5.914e-04,4.84375,5.02656
-5.912e-04,4.82344,5.01781
-5.910e-04,4.83469,5.03031
-5.908e-04,4.84,5.02625
-5.906e-04,4.82656,5.02406
-5.904e-04,4.83625,5.02156
-5.902e-04,4.83781,5.02813
-5.900e-04,4.82906,5.04625
-5.898e-04,4.81906,5.01375
-5.896e-04,4.8325,5.05531
-5.894e-04,4.84187,5.01844
-5.892e-04,4.82563,5.02969
-5.890e-04,4.82281,5.02188
-5.888e-04,4.82844,5.03688
-5.886e-04,4.83437,5.02188
-5.884e-04,4.84187,5.02844
-5.882e-04,4.82594,5.035
-5.880e-04,4.82437,5.01
-5.878e-04,4.82375,5.01719
-5.876e-04,4.83688,5.02281
-5.874e-04,4.8375,5.01156
-5.872e-04,4.83219,5.02844
-5.870e-04,4.825,5.01438
-5.868e-04,4.83531,5.03531
-5.866e-04,4.82625,5.01594
-5.864e-04,4.83656,5.0275
-5.862e-04,4.83094,5.01906
-5.860e-04,4.83062,5.03
-5.858e-04,4.83625,5.02813
-5.856e-04,4.82969,5.03625
-5.854e-04,4.82469,5.01938
-5.852e-04,4.82938,5.03375
-5.850e-04,4.82719,5.02063
-5.848e-04,4.83594,5.02188
-5.846e-04,4.83563,5.02562
-5.844e-04,4.82906,5.03
-5.842e-04,4.81875,5.02562
-5.840e-04,4.82969,5.02313
-5.838e-04,4.82906,5.02406
-5.836e-04,4.82594,5.02438
-5.834e-04,4.82437,5.0175
-5.832e-04,4.82906,5.02844
-5.830e-04,4.82094,5.01031
-5.828e-04,4.81969,5.035
-5.826e-04,4.82375,5.02813
-5.824e-04,4.82625,5.02438
-5.822e-04,4.83688,5.02656
-5.820e-04,4.8425,5.03
-5.818e-04,4.8175,5.03438
-5.816e-04,4.82281,5.01625
-5.814e-04,4.82719,5.01938
-5.812e-04,4.84156,5.03563
-5.810e-04,4.82406,5.02438
-5.808e-04,4.82812,5.03
-5.806e-04,4.82687,5.00406
-5.804e-04,4.82062,5.05656
-5.802e-04,4.83906,5.01781
-5.800e-04,4.83062,5.01219
-5.798e-04,4.83062,5.02625
-5.796e-04,4.82938,5.02406
-5.794e-04,4.82625,5.02313
-5.792e-04,4.82219,5.02125
-5.790e-04,4.83375,5.02875
-5.788e-04,4.83625,5.02
-5.786e-04,4.82969,5.01406
-5.784e-04,4.8325,5.02219
-5.782e-04,4.84563,4.94156
-5.780e-04,4.79813,5.15719
-5.778e-04,4.83219,4.9525
-5.776e-04,4.82156,5.04875
-5.774e-04,4.84375,5.02875
-5.772e-04,4.83156,5.02844
-5.770e-04,4.82812,5.03469
-5.768e-04,4.83344,5.01469
-5.766e-04,4.82719,5.02281
-5.764e-04,4.82563,5.01719
-5.762e-04,4.83062,5.03219
-5.760e-04,4.83812,5.02594
-5.758e-04,4.83375,5.02625
-5.756e-04,4.82906,5.01813
-5.754e-04,4.81875,5.03469
-5.752e-04,4.82031,5.03188
-5.750e-04,4.82719,5.02906
-5.748e-04,4.81937,5.03438
-5.746e-04,4.82188,5.0175
-5.744e-04,4.82781,5.03
-5.742e-04,4.81844,5.02937
-5.740e-04,4.82781,5.02781
-5.738e-04,4.82656,5.02469
-5.736e-04,4.82281,5.01187
-5.734e-04,4.82313,5.03594
