Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.936e-04,4.83437,5.06344
-5.934e-04,4.82906,5.00094
-5.932e-04,4.84281,5.03375
-5.930e-04,4.845,5.02656
-5.928e-04,4.83031,5.01219
-5.926e-04,4.82344,5.01906
-5.924e-04,4.82656,5.02094
-5.922e-04,4.8325,5.02
-5.920e-04,4.84187,5.01625
-5.918e-04,4.82094,5.02063
-5.916e-04,4.83156,5.01187
-5.914e-04,4.83437,5.02188
-5.912e-04,4.82719,5.02094
-5.910e-04,4.83156,5.02094
-5.908e-04,4.81156,5.01938
-5.906e-04,4.82719,5.01031
-5.904e-04,4.82469,5.02063
-5.902e-04,4.82563,5.02781
-5.900e-04,4.81906,5.02781
-5.898e-04,4.82469,5.02406
-5.896e-04,4.83031,5.0275
-5.894e-04,4.83188,5.01469
-5.892e-04,4.825,5.02688
-5.890e-04,4.83031,5.01625
-5.888e-04,4.82219,4.95844
-5.886e-04,4.82344,5.03531
-5.884e-04,4.82313,5.09969
-5.882e-04,4.84313,5.02906
-5.880e-04,4.83094,4.96281
-5.878e-04,4.835,4.98125
-5.876e-04,4.83625,5.06156
-5.874e-04,4.83656,5.07125
-5.872e-04,4.82469,4.83969
-5.870e-04,4.82687,5.18844
-5.868e-04,4.82469,4.97906
-5.866e-04,4.82313,5.03906
-5.864e-04,4.83312,5.01969
-5.862e-04,4.83563,5.01969
-5.860e-04,4.83469,5.02531
-5.858e-04,4.83312,5.00375
-5.856e-04,4.83688,5.02313
-5.854e-04,4.83281,5.01656
-5.852e-04,4.82563,5.01781
-5.850e-04,4.81844,5.03
-5.848e-04,4.84875,5.05906
-5.846e-04,4.80438,4.94375
-5.844e-04,4.82344,5.06969
-5.842e-04,4.82219,5.01562
-5.840e-04,4.82812,5.02156
-5.838e-04,4.81937,5.03
-5.836e-04,4.83125,5.0125
-5.834e-04,4.82719,5.02031
-5.832e-04,4.8225,5.01031
-5.830e-04,4.82594,5.02344
-5.828e-04,4.83375,5.01469
-5.826e-04,4.83062,5.02719
-5.824e-04,4.83437,5.02875
-5.822e-04,4.83563,5.01938
-5.820e-04,4.81937,5.02562
-5.818e-04,4.82469,5.01594
-5.816e-04,4.83094,5.02625
-5.814e-04,4.82219,5.015
-5.812e-04,4.82812,5.03031
-5.810e-04,4.82781,5.01469
-5.808e-04,4.82406,5.02
-5.806e-04,4.82781,5.02969
-5.804e-04,4.83094,5.02813
-5.802e-04,4.82687,5.02625
-5.800e-04,4.82344,5.01969
-5.798e-04,4.83281,5.02969
-5.796e-04,4.81906,4.97313
-5.794e-04,4.81969,5.04781
-5.792e-04,4.83,5.11188
-5.790e-04,4.83437,5.0175
-5.788e-04,4.82313,4.96625
-5.786e-04,4.82844,4.99437
-5.784e-04,4.83,5.06938
-5.782e-04,4.82125,5.06344
-5.780e-04,4.82094,4.87906
-5.778e-04,4.8375,5.14281
-5.776e-04,4.83969,4.98
-5.774e-04,4.83938,5.02969
-5.772e-04,4.84156,5.0075
-5.770e-04,4.83,5.01781
-5.768e-04,4.83656,5.01688
-5.766e-04,4.85313,5.02937
-5.764e-04,4.83031,5.00156
-5.762e-04,4.8325,5.01344
-5.760e-04,4.83219,5.01969
-5.758e-04,4.82031,5.09125
-5.756e-04,4.86469,4.92438
-5.754e-04,4.82,5.04906
-5.752e-04,4.83125,5.02719
-5.750e-04,4.82281,5.01688
-5.748e-04,4.8275,5.01125
-5.746e-04,4.83719,5.02625
-5.744e-04,4.81844,5.01438
-5.742e-04,4.82531,5.015
-5.740e-04,4.83062,5.01844
-5.738e-04,4.82188,5.0225
-5.736e-04,4.83531,5.01594
-5.734e-04,4.82781,5.02813
-5.732e-04,4.82781,5.02344
-5.730e-04,4.82344,5.02531
-5.728e-04,4.83156,5.02531
-5.726e-04,4.82969,5.02281
-5.724e-04,4.83281,5.01438
-5.722e-04,4.82031,5.00531
-5.720e-04,4.83094,5.01656
-5.718e-04,4.8275,5.0175
-5.716e-04,4.8425,5.01906
-5.714e-04,4.83781,5.00625
-5.712e-04,4.82563,5.03281
-5.710e-04,4.83344,5.0125
-5.708e-04,4.83094,5.02906
-5.706e-04,4.84281,5.01469
-5.704e-04,4.82,4.95781
-5.702e-04,4.82437,5.04844
-5.700e-04,4.83094,5.09531
-5.698e-04,4.84313,5.01344
-5.696e-04,4.83188,4.96156
-5.694e-04,4.82625,4.98406
-5.692e-04,4.82687,5.08156
-5.690e-04,4.82844,5.07344
-5.688e-04,4.81188,4.91281
-5.686e-04,4.84344,5.10875
-5.684e-04,4.82406,5
-5.682e-04,4.82,5.03063
-5.680e-04,4.82812,5.02438
