Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.738e-04,4.80687,4.97063
-5.736e-04,4.78812,4.99156
-5.734e-04,4.80531,4.99375
-5.732e-04,4.80187,4.99281
-5.730e-04,4.80375,4.99281
-5.728e-04,4.79281,4.98813
-5.726e-04,4.79469,4.99531
-5.724e-04,4.8025,4.99469
-5.722e-04,4.80375,5.00531
-5.720e-04,4.805,4.99313
-5.718e-04,4.79531,4.99125
-5.716e-04,4.80438,5.24156
-5.714e-04,4.81312,4.74063
-5.712e-04,4.78625,4.98781
-5.710e-04,4.79188,5.01875
-5.708e-04,4.78719,4.99531
-5.706e-04,4.78781,4.98219
-5.704e-04,4.80813,4.99563
-5.702e-04,4.81,4.99906
-5.700e-04,4.80125,4.99344
-5.698e-04,4.79875,4.9875
-5.696e-04,4.79719,4.99469
-5.694e-04,4.8075,4.98219
-5.692e-04,4.80187,4.99375
-5.690e-04,4.79438,4.99313
-5.688e-04,4.81125,5.00063
-5.686e-04,4.80969,4.99188
-5.684e-04,4.79375,4.99844
-5.682e-04,4.805,4.98625
-5.680e-04,4.80875,4.99656
-5.678e-04,4.80375,4.98062
-5.676e-04,4.80156,4.98656
-5.674e-04,4.805,4.98719
-5.672e-04,4.81219,4.98531
-5.670e-04,4.80094,5.0025
-5.668e-04,4.80344,4.99563
-5.666e-04,4.80031,4.99219
-5.664e-04,4.80125,4.98469
-5.662e-04,4.80063,4.98719
-5.660e-04,4.80469,5
-5.658e-04,4.8,4.95094
-5.656e-04,4.81156,4.96844
-5.654e-04,4.79562,5.06938
-5.652e-04,4.80125,5.00688
-5.650e-04,4.805,4.92938
-5.648e-04,4.78281,4.94906
-5.646e-04,4.78063,4.92531
-5.644e-04,4.79813,5.11563
-5.642e-04,4.79688,4.9925
-5.640e-04,4.79719,4.98781
-5.638e-04,4.80281,4.99
-5.636e-04,4.80875,4.99469
-5.634e-04,4.79219,4.99125
-5.632e-04,4.80844,4.97781
-5.630e-04,4.80406,4.995
-5.628e-04,4.80469,4.98313
-5.626e-04,4.80094,4.99656
-5.624e-04,4.80687,4.98438
-5.622e-04,4.79625,4.99406
-5.620e-04,4.81781,4.99125
-5.618e-04,4.81875,5.04406
-5.616e-04,4.78437,4.88625
-5.614e-04,4.80219,5.035
-5.612e-04,4.79906,4.98688
-5.610e-04,4.8,4.99437
-5.608e-04,4.805,4.99719
-5.606e-04,4.80375,4.98688
-5.604e-04,4.80875,4.99844
-5.602e-04,4.80063,4.99875
-5.600e-04,4.79031,5.00156
-5.598e-04,4.80719,4.98406
-5.596e-04,4.80187,4.99844
-5.594e-04,4.80781,5.00094
-5.592e-04,4.80031,5.0025
-5.590e-04,4.79656,4.98125
-5.588e-04,4.79562,4.97781
-5.586e-04,4.8,4.98906
-5.584e-04,4.80063,4.98906
-5.582e-04,4.81594,4.99656
-5.580e-04,4.79156,4.98813
-5.578e-04,4.80187,4.99
-5.576e-04,4.79719,4.99125
-5.574e-04,4.805,4.99906
-5.572e-04,4.8,4.99938
-5.570e-04,4.80656,4.99906
-5.568e-04,4.80906,4.99375
-5.566e-04,4.79937,4.98938
-5.564e-04,4.80094,4.99781
-5.562e-04,4.78219,4.97594
-5.560e-04,4.79656,4.93781
-5.558e-04,4.79969,5.04719
-5.556e-04,4.815,5.06719
-5.554e-04,4.80094,4.96469
-5.552e-04,4.80156,4.93656
-5.550e-04,4.80406,4.93562
-5.548e-04,4.79656,5.07688
-5.546e-04,4.80875,5.015
-5.544e-04,4.79875,4.97625
-5.542e-04,4.80438,4.99563
-5.540e-04,4.80156,4.99375
-5.538e-04,4.79031,4.99437
-5.536e-04,4.79375,4.995
-5.534e-04,4.80375,4.99219
-5.532e-04,4.80531,4.98188
-5.530e-04,4.79813,4.995
-5.528e-04,4.8025,4.98344
-5.526e-04,4.79656,4.99469
-5.524e-04,4.80156,4.98813
-5.522e-04,4.82062,5.13875
-5.520e-04,4.80156,4.79563
-5.518e-04,4.80719,5.03688
-5.516e-04,4.79719,4.9875
-5.514e-04,4.80438,4.98594
-5.512e-04,4.80187,4.99625
-5.510e-04,4.81,4.99625
-5.508e-04,4.79688,5.00313
-5.506e-04,4.80031,4.995
-5.504e-04,4.80094,4.98938
-5.502e-04,4.80844,4.99625
-5.500e-04,4.7925,4.99938
-5.498e-04,4.78937,4.99594
-5.496e-04,4.805,4.99719
-5.494e-04,4.8,4.99219
-5.492e-04,4.80063,4.98906
-5.490e-04,4.79688,5
-5.488e-04,4.79219,4.99719
-5.486e-04,4.80656,4.99688
-5.484e-04,4.8,5.00281
-5.482e-04,4.7975,4.99938
-5.480e-04,4.805,4.99313
-5.478e-04,4.795,4.9975
-5.476e-04,4.79813,4.98469
-5.474e-04,4.8125,4.98031
-5.472e-04,4.80281,4.98938
-5.470e-04,4.79969,4.97656
-5.468e-04,4.79,4.98781
-5.466e-04,4.79906,4.99188
-5.464e-04,4.80281,4.94469
-5.462e-04,4.79875,5.00188
-5.460e-04,4.80406,5.07063
-5.458e-04,4.80531,5.00188
-5.456e-04,4.79219,4.92844
