Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.1,
Sample Interval,1e-05,
Record Length,100000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-4.8030e-02,4.83094,5.03875
-4.8020e-02,4.83531,5.04031
-4.8010e-02,4.83594,5.04094
-4.8000e-02,4.83312,5.03688
-4.7990e-02,4.83594,5.03875
-4.7980e-02,4.83375,5.03594
-4.7970e-02,4.83469,5.03844
-4.7960e-02,4.83062,5.03719
-4.7950e-02,4.83,5.0375
-4.7940e-02,4.83125,5.03719
-4.7930e-02,4.83188,5.03875
-4.7920e-02,4.83188,5.03844
-4.7910e-02,4.835,5.03344
-4.7900e-02,4.82844,5.03563
-4.7890e-02,4.83094,5.03594
-4.7880e-02,4.83344,5.035
-4.7870e-02,4.83375,5.03594
-4.7860e-02,4.83312,5.03688
-4.7850e-02,4.83312,5.03563
-4.7840e-02,4.83312,5.03813
-4.7830e-02,4.835,5.03719
-4.7820e-02,4.83312,5.03906
-4.7810e-02,4.83406,5.03906
-4.7800e-02,4.83,5.03969
-4.7790e-02,4.83375,5.03719
-4.7780e-02,4.83312,5.04
-4.7770e-02,4.83375,5.04094
-4.7760e-02,4.83531,5.035
-4.7750e-02,4.83406,5.03875
-4.7740e-02,4.83594,5.03875
-4.7730e-02,4.8325,5.04
-4.7720e-02,4.83188,5.04
-4.7710e-02,4.83188,5.03875
-4.7700e-02,4.83094,5.03719
-4.7690e-02,4.83469,5.03969
-4.7680e-02,4.83188,5.03906
-4.7670e-02,4.83188,5.03594
-4.7660e-02,4.83375,5.03844
-4.7650e-02,4.83656,5.03844
-4.7640e-02,4.83125,5.0425
-4.7630e-02,4.83094,5.03969
-4.7620e-02,4.83094,5.03969
-4.7610e-02,4.83125,5.04
-4.7600e-02,4.83312,5.03625
-4.7590e-02,4.83312,5.04
-4.7580e-02,4.83719,5.03844
-4.7570e-02,4.83125,5.03906
-4.7560e-02,4.83094,5.03875
-4.7550e-02,4.83,5.03875
-4.7540e-02,4.82719,5.03594
-4.7530e-02,4.83062,5.03813
-4.7520e-02,4.83,5.03469
-4.7510e-02,4.82969,5.03594
-4.7500e-02,4.82938,5.04
-4.7490e-02,4.82719,5.03625
-4.7480e-02,4.82969,5.03563
-4.7470e-02,4.83,5.03719
-4.7460e-02,4.83094,5.03688
-4.7450e-02,4.83094,5.03406
-4.7440e-02,4.83,5.03438
-4.7430e-02,4.8325,5.03688
-4.7420e-02,4.83,5.03469
-4.7410e-02,4.82969,5.035
-4.7400e-02,4.83094,5.035
-4.7390e-02,4.82844,5.03313
-4.7380e-02,4.83219,5.03406
-4.7370e-02,4.82938,5.035
-4.7360e-02,4.82969,5.03625
-4.7350e-02,4.82719,5.03563
-4.7340e-02,4.83062,5.03281
-4.7330e-02,4.82844,5.03438
-4.7320e-02,4.82938,5.035
-4.7310e-02,4.82969,5.03313
-4.7300e-02,4.82938,5.0375
-4.7290e-02,4.82844,5.03406
-4.7280e-02,4.83344,5.03438
-4.7270e-02,4.83188,5.03438
-4.7260e-02,4.83406,5.03719
-4.7250e-02,4.83,5.03406
-4.7240e-02,4.83188,5.04156
-4.7230e-02,4.83125,5.03719
-4.7220e-02,4.83469,5.03406
-4.7210e-02,4.8325,5.035
-4.7200e-02,4.83219,5.03594
-4.7190e-02,4.82938,5.03406
-4.7180e-02,4.83188,5.03625
-4.7170e-02,4.83188,5.03594
-4.7160e-02,4.83406,5.03406
-4.7150e-02,4.83344,5.0375
-4.7140e-02,4.83188,5.03438
-4.7130e-02,4.83094,5.03469
-4.7120e-02,4.83188,5.03594
-4.7110e-02,4.83344,5.035
-4.7100e-02,4.83219,5.03625
-4.7090e-02,4.83188,5.03719
-4.7080e-02,4.83188,5.03875
-4.7070e-02,4.83,5.03844
-4.7060e-02,4.82938,5.03625
-4.7050e-02,4.82844,5.03469
-4.7040e-02,4.8325,5.035
-4.7030e-02,4.83125,5.03281
-4.7020e-02,4.83062,5.0375
-4.7010e-02,4.83531,5.03625
-4.7000e-02,4.83219,5.035
-4.6990e-02,4.8325,5.03563
-4.6980e-02,4.82969,5.03344
-4.6970e-02,4.82844,5.03469
-4.6960e-02,4.83375,5.03594
-4.6950e-02,4.83188,5.03469
-4.6940e-02,4.8325,5.0375
-4.6930e-02,4.83188,5.03875
-4.6920e-02,4.82938,5.03344
-4.6910e-02,4.83094,5.03844
-4.6900e-02,4.83094,5.03469
-4.6890e-02,4.8325,5.03563
-4.6880e-02,4.83406,5.03875
-4.6870e-02,4.83219,5.03688
-4.6860e-02,4.83188,5.03906
-4.6850e-02,4.83312,5.04
-4.6840e-02,4.83375,5.03844
-4.6830e-02,4.835,5.03563
-4.6820e-02,4.83094,5.03406
-4.6810e-02,4.82938,5.03813
-4.6800e-02,4.83219,5.03563
-4.6790e-02,4.83344,5.03813
-4.6780e-02,4.83125,5.03688
-4.6770e-02,4.83188,5.03688
-4.6760e-02,4.83344,5.0375
-4.6750e-02,4.835,5.03813
-4.6740e-02,4.83219,5.03594
-4.6730e-02,4.83219,5.03563
-4.6720e-02,4.82938,5.0375
-4.6710e-02,4.83094,5.03688
-4.6700e-02,4.83,5.03438
-4.6690e-02,4.83125,5.0375
-4.6680e-02,4.8325,5.03344
-4.6670e-02,4.83406,5.03813
-4.6660e-02,4.83375,5.03688
-4.6650e-02,4.8325,5.03719
-4.6640e-02,4.83188,5.03688
-4.6630e-02,4.83125,5.0375
-4.6620e-02,4.82969,5.0375
-4.6610e-02,4.83,5.03813
-4.6600e-02,4.8325,5.03406
-4.6590e-02,4.83,5.0375
-4.6580e-02,4.83219,5.03625
-4.6570e-02,4.83188,5.03844
-4.6560e-02,4.835,5.03719
-4.6550e-02,4.83062,5.03813
-4.6540e-02,4.83188,5.03875
-4.6530e-02,4.83094,5.03719
-4.6520e-02,4.8325,5.03906
-4.6510e-02,4.83375,5.03719
