Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-6.052e-04,4.81656,5.00031
-6.050e-04,4.81969,5.00531
-6.048e-04,4.8275,4.9975
-6.046e-04,4.80406,5.01281
-6.044e-04,4.82219,5.01313
-6.042e-04,4.81312,5.04656
-6.040e-04,4.81562,4.93281
-6.038e-04,4.81281,5.02688
-6.036e-04,4.82031,5.00469
-6.034e-04,4.81719,4.995
-6.032e-04,4.81438,5.00125
-6.030e-04,4.82031,4.9975
-6.028e-04,4.81344,5.00844
-6.026e-04,4.80031,5.01156
-6.024e-04,4.80813,5.00219
-6.022e-04,4.81594,5.01625
-6.020e-04,4.81344,5.01406
-6.018e-04,4.81281,5.00188
-6.016e-04,4.80031,5.01187
-6.014e-04,4.80219,5.00281
-6.012e-04,4.81062,5.01531
-6.010e-04,4.82188,5.00219
-6.008e-04,4.80344,5.01063
-6.006e-04,4.79719,5.00063
-6.004e-04,4.8075,4.99812
-6.002e-04,4.81312,5.00594
-6.000e-04,4.81438,5.0025
-5.998e-04,4.81094,4.99781
-5.996e-04,4.81469,5.00938
-5.994e-04,4.81156,5.00094
-5.992e-04,4.81813,5.01063
-5.990e-04,4.81937,5.00219
-5.988e-04,4.80875,5.00563
-5.986e-04,4.82375,4.99938
-5.984e-04,4.81687,5.00719
-5.982e-04,4.81281,5.00063
-5.980e-04,4.80406,4.98688
-5.978e-04,4.80594,5.005
-5.976e-04,4.80312,5.00594
-5.974e-04,4.82188,5.01562
-5.972e-04,4.82,5.00906
-5.970e-04,4.81531,5.00844
-5.968e-04,4.80687,5.00906
-5.966e-04,4.81594,5.00938
-5.964e-04,4.81312,5.01313
-5.962e-04,4.81594,5.015
-5.960e-04,4.81094,5.00656
-5.958e-04,4.80844,5.005
-5.956e-04,4.80563,5.01406
-5.954e-04,4.80906,5.00875
-5.952e-04,4.80969,5.00063
-5.950e-04,4.8075,5.00688
-5.948e-04,4.81813,5.01813
-5.946e-04,4.81469,4.98031
-5.944e-04,4.8125,5.00094
-5.942e-04,4.81312,5.00406
-5.940e-04,4.82156,4.99313
-5.938e-04,4.81406,5
-5.936e-04,4.81531,5.0025
-5.934e-04,4.805,5.00531
-5.932e-04,4.81031,4.99125
-5.930e-04,4.81125,4.99781
-5.928e-04,4.81281,5.005
-5.926e-04,4.82188,4.9975
-5.924e-04,4.82188,5.01656
-5.922e-04,4.81656,5.00313
-5.920e-04,4.80531,5.0025
-5.918e-04,4.81906,4.99906
-5.916e-04,4.80594,5.0075
-5.914e-04,4.81906,5.00156
-5.912e-04,4.80969,5.00938
-5.910e-04,4.80656,5.00219
-5.908e-04,4.81719,5.00219
-5.906e-04,4.81094,5.00781
-5.904e-04,4.81906,5.01313
-5.902e-04,4.82094,4.99844
-5.900e-04,4.80938,5.00063
-5.898e-04,4.8175,5.00625
-5.896e-04,4.81031,5.01125
-5.894e-04,4.81469,4.99281
-5.892e-04,4.81219,5.00656
-5.890e-04,4.81125,5.00031
-5.888e-04,4.81594,5.00594
-5.886e-04,4.8125,5.00313
-5.884e-04,4.81344,5.00344
-5.882e-04,4.81594,5.00094
-5.880e-04,4.81531,5.00094
-5.878e-04,4.81719,5.02031
-5.876e-04,4.82031,5.00125
-5.874e-04,4.82313,5.00875
-5.872e-04,4.81656,5.00844
-5.870e-04,4.81625,5.00313
-5.868e-04,4.81594,5.00719
-5.866e-04,4.81594,5.01594
-5.864e-04,4.81406,5.01406
-5.862e-04,4.81531,5.01
-5.860e-04,4.80531,5.0025
-5.858e-04,4.80844,4.99906
-5.856e-04,4.82875,4.99812
-5.854e-04,4.82094,5.03438
-5.852e-04,4.82156,5.00313
-5.850e-04,4.81094,4.98719
-5.848e-04,4.81281,5.0275
-5.846e-04,4.82156,5.01031
-5.844e-04,4.81687,5.00594
-5.842e-04,4.82281,5.02094
-5.840e-04,4.80438,5.00656
-5.838e-04,4.81031,4.99719
-5.836e-04,4.81281,5.01688
-5.834e-04,4.80375,5.00406
-5.832e-04,4.82344,5.01281
-5.830e-04,4.81469,5.02188
-5.828e-04,4.81438,5.01031
-5.826e-04,4.81719,5.00875
-5.824e-04,4.80906,5.01656
-5.822e-04,4.815,4.99688
-5.820e-04,4.80781,5.01156
-5.818e-04,4.8225,5.015
-5.816e-04,4.79844,5.00781
-5.814e-04,4.80656,5.01562
-5.812e-04,4.81406,5.01031
-5.810e-04,4.80938,5.00375
-5.808e-04,4.81719,4.99719
-5.806e-04,4.80719,5.00375
-5.804e-04,4.8075,5.01562
-5.802e-04,4.815,5.00438
-5.800e-04,4.80969,5.00125
-5.798e-04,4.81719,5.00594
-5.796e-04,4.80594,5.01375
-5.794e-04,4.81406,4.99437
-5.792e-04,4.81312,5.00594
-5.790e-04,4.81344,5.00281
-5.788e-04,4.82125,4.9975
-5.786e-04,4.80719,5.00719
-5.784e-04,4.81094,4.99375
-5.782e-04,4.81156,5.01281
-5.780e-04,4.80406,4.99875
-5.778e-04,4.81312,5.00938
-5.776e-04,4.81813,5
-5.774e-04,4.81594,4.99594
-5.772e-04,4.81469,5.00125
-5.770e-04,4.81719,5.01125
-5.768e-04,4.80969,5.00188
-5.766e-04,4.80938,5.01125
-5.764e-04,4.80406,5.01063
-5.762e-04,4.81062,5.01313
-5.760e-04,4.81031,5.0825
-5.758e-04,4.81219,4.93281
-5.756e-04,4.80406,5.00875
-5.754e-04,4.80687,5.00719
-5.752e-04,4.81813,5.00938
-5.750e-04,4.82281,5.00594
-5.748e-04,4.81906,5.00875
-5.746e-04,4.81312,5
-5.744e-04,4.81,5.00219
-5.742e-04,4.8125,5.00313
-5.740e-04,4.82625,5.00813
-5.738e-04,4.80656,5.00344
-5.736e-04,4.805,5.00313
-5.734e-04,4.80875,5.00219
-5.732e-04,4.8075,5.00094
-5.730e-04,4.81219,5.00594
-5.728e-04,4.81438,4.99812
-5.726e-04,4.81625,5.00625
-5.724e-04,4.81719,5.00031
-5.722e-04,4.81781,5.01219
-5.720e-04,4.80687,4.99906
-5.718e-04,4.81125,4.99969
-5.716e-04,4.81562,5.00438
-5.714e-04,4.82406,5.00031
-5.712e-04,4.81156,5.01063
-5.710e-04,4.81438,5.00063
-5.708e-04,4.81687,4.99969
-5.706e-04,4.81469,5.0025
-5.704e-04,4.80969,4.98938
-5.702e-04,4.81687,5.00375
-5.700e-04,4.81687,5.00813
-5.698e-04,4.81156,4.99812
-5.696e-04,4.81344,4.9975
-5.694e-04,4.80563,5.00813
-5.692e-04,4.80906,5.00656
-5.690e-04,4.81562,4.99437
-5.688e-04,4.81281,5.00375
-5.686e-04,4.805,5.00219
-5.684e-04,4.80687,5.00125
-5.682e-04,4.80844,5.005
-5.680e-04,4.81125,5.00281
-5.678e-04,4.80969,4.99531
-5.676e-04,4.80156,4.99594
-5.674e-04,4.81937,5.00906
-5.672e-04,4.81125,5.00469
-5.670e-04,4.81844,5.01375
-5.668e-04,4.80781,4.9975
-5.666e-04,4.82375,5.01313
-5.664e-04,4.79813,4.98406
-5.662e-04,4.81094,5.03219
-5.660e-04,4.81188,5.00156
-5.658e-04,4.81312,5.00531
-5.656e-04,4.82437,5.00563
