Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,2e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Label,,
TIME,CH1,CH2
-5.858e-04,4.69937,4.85531
-5.856e-04,4.6875,4.8325
-5.854e-04,4.69437,4.9025
-5.852e-04,4.70156,4.8575
-5.850e-04,4.6975,4.86406
-5.848e-04,4.69781,4.86531
-5.846e-04,4.69031,4.8625
-5.844e-04,4.6975,4.86563
-5.842e-04,4.70094,4.87312
-5.840e-04,4.69562,4.86531
-5.838e-04,4.69937,4.8675
-5.836e-04,4.68906,4.86438
-5.834e-04,4.69719,4.86219
-5.832e-04,4.69031,4.86188
-5.830e-04,4.68906,4.86125
-5.828e-04,4.7025,4.86375
-5.826e-04,4.69344,4.86094
-5.824e-04,4.69844,4.88469
-5.822e-04,4.69062,4.82688
-5.820e-04,4.69062,4.86781
-5.818e-04,4.69313,4.84
-5.816e-04,4.68781,4.87469
-5.814e-04,4.69562,4.855
-5.812e-04,4.69781,4.86
-5.810e-04,4.69375,4.87656
-5.808e-04,4.70125,4.85562
-5.806e-04,4.68406,4.86188
-5.804e-04,4.7,4.85156
-5.802e-04,4.69594,4.85063
-5.800e-04,4.70063,4.85156
-5.798e-04,4.69937,4.86281
-5.796e-04,4.69594,4.86344
-5.794e-04,4.68688,4.86344
-5.792e-04,4.7075,4.86719
-5.790e-04,4.68656,4.85656
-5.788e-04,4.69875,4.85594
-5.786e-04,4.70094,4.86375
-5.784e-04,4.68219,4.86531
-5.782e-04,4.69406,4.8675
-5.780e-04,4.69875,4.85875
-5.778e-04,4.69156,4.85594
-5.776e-04,4.69281,4.85969
-5.774e-04,4.69844,4.85906
-5.772e-04,4.69437,4.8675
-5.770e-04,4.70156,4.86063
-5.768e-04,4.69656,4.85875
-5.766e-04,4.69062,4.86531
-5.764e-04,4.68938,4.81938
-5.762e-04,4.69531,4.9
-5.760e-04,4.69219,4.86156
-5.758e-04,4.69531,4.8575
-5.756e-04,4.70094,4.84438
-5.754e-04,4.69125,4.86219
-5.752e-04,4.70156,4.85219
-5.750e-04,4.68844,4.85688
-5.748e-04,4.69469,4.85406
-5.746e-04,4.69844,4.86375
-5.744e-04,4.70469,4.86313
-5.742e-04,4.68031,4.86344
-5.740e-04,4.69906,4.86125
-5.738e-04,4.68812,4.85938
-5.736e-04,4.69656,4.855
-5.734e-04,4.69125,4.975
-5.732e-04,4.69656,4.73094
-5.730e-04,4.69062,4.88281
-5.728e-04,4.69688,4.855
-5.726e-04,4.68406,4.84563
-5.724e-04,4.68938,4.85844
-5.722e-04,4.69375,4.85875
-5.720e-04,4.70125,4.87
-5.718e-04,4.69531,4.86125
-5.716e-04,4.70438,4.85313
-5.714e-04,4.68844,4.86656
-5.712e-04,4.70438,4.86625
-5.710e-04,4.70063,4.87094
-5.708e-04,4.69344,4.86094
-5.706e-04,4.69688,4.85844
-5.704e-04,4.70156,4.87063
-5.702e-04,4.69937,4.86688
-5.700e-04,4.69594,4.86531
-5.698e-04,4.70281,4.86219
-5.696e-04,4.6875,4.86406
-5.694e-04,4.69688,4.86813
-5.692e-04,4.69906,4.87219
-5.690e-04,4.69969,4.86031
-5.688e-04,4.68469,4.86844
-5.686e-04,4.68844,4.85719
-5.684e-04,4.6925,4.87188
